Subject_ID,Overall_Status,Sbref_Direction,IntendedFor,DWI_Parameters,File_Properties,Missing_Files,Extra_Files,DWI_Version,DWI_RevB0,DWI_RevB0_Status,ASL_Version,M0scan_Status,Total_Missing_Files,Total_Extra_Files,DWI_Dimensions,DWI_TR,RevB0_Dimensions,RevB0_TR,ASL_Dimensions,ASL_TR,Missing_Files_Detail,Extra_Files_Detail,Property_Issues_Detail,DWI_Parameter_Issues
sub-0685,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0686,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0687,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0688,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0689,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0690,Validation Not Found,,,,,,,,,,,,,,,,,,,,,,,
sub-0691,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,v2 reverse-b0 matches DWI parameters,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0692,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0693,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,v2 reverse-b0 matches DWI parameters,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0694,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0695,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0697,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0698,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0699,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0701,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0702,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0703,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0704,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0705,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0706,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0707,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0708,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0709,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0710,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0711,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0712,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
sub-0713,PASSED,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,CORRECT,v2 (LATEST),UNKNOWN,,v2 (LATEST),SEPARATE,0.0,0.0,104 x 104 x 75 x 105,3200.0 ms,104 x 104 x 75,3200.0 ms,128 x 128 x 48 x 25,4200.0 ms,,,,
